county,office,district,party,candidate,votes
Dallas,United States Senator,,Republican,Eric Schmitt,4449
Dallas,United States Senator,,Democratic,Trudy Busch Valentine,1097
Dallas,United States Senator,,Libertarian,Jonathan Dine,125
Dallas,United States Senator,,Constitution,Paul Venable,81
Dallas,United States Senator,,Write-In,Nathan V. Mooney,0
Dallas,United States Senator,,Write-In,Theo Brown Sr,0
Dallas,United States Senator,,Write-In,David Kirk,0
Daviess,United States Senator,,Republican,Eric Schmitt,2029
Daviess,United States Senator,,Democratic,Trudy Busch Valentine,608
Daviess,United States Senator,,Libertarian,Jonathan Dine,39
Daviess,United States Senator,,Constitution,Paul Venable,33
Daviess,United States Senator,,Write-In,Nathan V. Mooney,0
Daviess,United States Senator,,Write-In,Theo Brown Sr,0
Daviess,United States Senator,,Write-In,David Kirk,0
De Kalb,United States Senator,,Republican,Eric Schmitt,2575
De Kalb,United States Senator,,Democratic,Trudy Busch Valentine,700
De Kalb,United States Senator,,Libertarian,Jonathan Dine,88
De Kalb,United States Senator,,Constitution,Paul Venable,31
De Kalb,United States Senator,,Write-In,Nathan V. Mooney,0
De Kalb,United States Senator,,Write-In,Theo Brown Sr,0
De Kalb,United States Senator,,Write-In,David Kirk,0
Dent,United States Senator,,Republican,Eric Schmitt,4030
Dent,United States Senator,,Democratic,Trudy Busch Valentine,822
Dent,United States Senator,,Libertarian,Jonathan Dine,102
Dent,United States Senator,,Constitution,Paul Venable,60
Dent,United States Senator,,Write-In,Nathan V. Mooney,0
Dent,United States Senator,,Write-In,Theo Brown Sr,0
Dent,United States Senator,,Write-In,David Kirk,0
Douglas,United States Senator,,Republican,Eric Schmitt,4101
Douglas,United States Senator,,Democratic,Trudy Busch Valentine,780
Douglas,United States Senator,,Libertarian,Jonathan Dine,103
Douglas,United States Senator,,Constitution,Paul Venable,48
Douglas,United States Senator,,Write-In,Nathan V. Mooney,0
Douglas,United States Senator,,Write-In,Theo Brown Sr,0
Douglas,United States Senator,,Write-In,David Kirk,0
Dunklin,United States Senator,,Republican,Eric Schmitt,4906
Dunklin,United States Senator,,Democratic,Trudy Busch Valentine,1167
Dunklin,United States Senator,,Libertarian,Jonathan Dine,92
Dunklin,United States Senator,,Constitution,Paul Venable,53
Dunklin,United States Senator,,Write-In,Nathan V. Mooney,0
Dunklin,United States Senator,,Write-In,Theo Brown Sr,0
Dunklin,United States Senator,,Write-In,David Kirk,2
Franklin,United States Senator,,Republican,Eric Schmitt,25089
Franklin,United States Senator,,Democratic,Trudy Busch Valentine,11139
Franklin,United States Senator,,Libertarian,Jonathan Dine,589
Franklin,United States Senator,,Constitution,Paul Venable,271
Franklin,United States Senator,,Write-In,Nathan V. Mooney,0
Franklin,United States Senator,,Write-In,Theo Brown Sr,0
Franklin,United States Senator,,Write-In,David Kirk,0
Gasconade,United States Senator,,Republican,Eric Schmitt,4306
Gasconade,United States Senator,,Democratic,Trudy Busch Valentine,1299
Gasconade,United States Senator,,Libertarian,Jonathan Dine,84
Gasconade,United States Senator,,Constitution,Paul Venable,23
Gasconade,United States Senator,,Write-In,Nathan V. Mooney,0
Gasconade,United States Senator,,Write-In,Theo Brown Sr,0
Gasconade,United States Senator,,Write-In,David Kirk,0
Gentry,United States Senator,,Republican,Eric Schmitt,1748
Gentry,United States Senator,,Democratic,Trudy Busch Valentine,528
Gentry,United States Senator,,Libertarian,Jonathan Dine,37
Gentry,United States Senator,,Constitution,Paul Venable,12
